Datetime,Banda_A,Banda_B,Banda_C
2026-08-27 16:00:00,174.11152778,76.99075000,31.80053333
2026-08-27 17:00:00,173.58655556,73.93466667,30.86957222
2026-08-27 18:00:00,172.24838889,71.50808333,29.49333056
2026-08-27 19:00:00,170.47538889,70.28922222,28.00436944
2026-08-27 20:00:00,169.57277778,70.30052778,27.30786944
2026-08-27 21:00:00,169.86025000,70.88150000,27.53145000
2026-08-27 22:00:00,170.40861111,71.79227778,27.94097500
2026-08-27 23:00:00,170.56181818,73.66647222,28.05472727
2026-08-28 00:00:00,173.96072165,76.67833333,31.21056014
2026-08-28 01:00:00,174.34738889,79.49033333,31.62728611
2026-08-28 02:00:00,174.94241667,80.49655556,32.29138333
2026-08-28 03:00:00,175.66958333,79.71902778,32.85176389
2026-08-28 04:00:00,176.73472222,78.62425000,33.38981111
2026-08-28 05:00:00,178.03747222,78.45361111,34.03614167
2026-08-28 06:00:00,178.91350000,79.43927778,34.55434444
2026-08-28 07:00:00,178.81477778,81.15408333,34.70651389
2026-08-28 08:00:00,178.24239766,82.92055556,34.72884211
2026-08-28 09:00:00,177.69384906,84.15833333,34.91545660
2026-08-28 10:00:00,177.22191667,84.70158333,35.66871389
2026-08-28 11:00:00,177.31794444,84.64727778,37.03183889
2026-08-28 12:00:00,177.68605556,83.95608333,38.01182500
2026-08-28 13:00:00,177.54030556,82.48461111,37.49038889
2026-08-28 14:00:00,176.59327778,80.26152778,35.23174167
2026-08-28 15:00:00,175.23425000,77.52775000,32.27211944
2026-08-28 16:00:00,173.69877778,74.65605556,30.07621667
2026-08-28 17:00:00,171.63863889,72.10305556,29.22901944
2026-08-28 18:00:00,169.04236111,70.26536111,29.15172222
2026-08-28 19:00:00,166.97091667,69.42205556,29.10567222
2026-08-28 20:00:00,166.43055556,69.85094444,28.99373889
2026-08-28 21:00:00,166.94641667,71.67163889,28.98973889
2026-08-28 22:00:00,167.40182143,74.35830556,29.05162143
2026-08-29 00:00:00,168.89126354,78.34872222,31.42242960
2026-08-29 01:00:00,170.16691667,79.43827778,31.42138333
2026-08-29 02:00:00,171.94012048,80.83508333,31.47944980
2026-08-29 03:00:00,173.53044444,82.27502778,31.68261667
2026-08-29 04:00:00,174.66241667,82.62133333,32.07815278
2026-08-29 05:00:00,175.26286111,81.42711111,32.61421111
2026-08-29 06:00:00,175.92586111,79.77533333,33.40646667
2026-08-29 07:00:00,176.63663889,79.25400000,34.53283889
2026-08-29 08:00:00,176.90853403,80.32066667,35.44809424
2026-08-29 09:00:00,176.78578014,81.95336111,35.99490426
2026-08-29 10:00:00,176.34277778,82.84311111,36.04040000
2026-08-29 11:00:00,176.04155556,82.68475000,35.09305000
2026-08-29 12:00:00,176.27458333,82.12263889,33.81802500
2026-08-29 13:00:00,176.56816667,81.71800000,33.43741944
2026-08-29 14:00:00,176.23508333,81.41016667,34.36696944
